developer,Installs,Avg_Rating,inv_Global_rank,containsAds,Comment_reply,Counts
Waze,0.03543307086614173,0.412371134020618,0.028540993241257723,1.0,0.5192697768762677,1.0
Wattpad.com,0.03543307086614173,0.3402061855670109,0.004908728332566347,1.0,0.0,1.0
Videolabs,0.03543307086614173,0.4948453608247423,0.007820784729586427,0.0,0.0,1.0
Zello Inc,0.015748031496062992,0.536082474226804,5.725409366769997e-05,0.0,0.28600405679513186,1.0
Zentertain,0.015748031496062992,0.5773195876288657,0.002962656745211522,1.0,0.002028397565922921,1.0
Zomato,0.03543307086614173,0.25773195876288657,0.0023215267117706155,0.0,0.13995943204868155,1.0
mobimagicdevelop,0.015748031496062992,0.6804123711340209,0.011218929393595013,1.0,0.0,1.0
Зайцев.Нет,0.015748031496062992,0.6597938144329891,0.005548384174649548,1.0,0.13995943204868155,1.0
trivago,0.015748031496062992,0.5773195876288657,0.0005324273616956563,0.0,0.10953346855983773,1.0
rubycell,0.015748031496062992,0.536082474226804,0.00011497084667816404,1.0,0.0,1.0
newborntown,0.03543307086614173,0.36082474226804084,0.004309155363094102,1.0,0.004056795131845842,1.0
nerByte GmbH,0.03543307086614173,0.36082474226804084,0.00035057845444984304,1.0,0.002028397565922921,1.0
mytechnosound,0.015748031496062992,0.6185567010309274,0.003700624127453398,1.0,0.0,1.0
ixigo - India's most trusted travel app,0.015748031496062992,0.536082474226804,0.0008458046363903141,1.0,0.4421906693711968,1.0
Zynga,0.015748031496062992,0.4948453608247423,0.002438070155349442,1.0,0.04056795131845842,1.0
imo.im,0.19291338582677167,0.32989690721649456,0.06378986866791747,1.0,0.847870182555781,1.0
"ideaFun - Relaxing Coloring Book, Free Color Games",0.015748031496062992,0.7731958762886597,0.012870042822565632,1.0,0.07302231237322515,1.0
"iHeartMedia, Inc.",0.015748031496062992,0.7113402061855671,0.013723513219384163,1.0,0.48884381338742394,1.0
hua weiwei,0.03543307086614173,0.3505154639175254,0.00041069482859777164,1.0,0.0,1.0
handyCloset Inc.,0.015748031496062992,0.6597938144329891,0.004504794388313277,1.0,0.0,1.0
eBay Mobile,0.03543307086614173,0.5154639175257731,0.016640155531990105,1.0,0.16227180527383367,1.0
Viber Media S.à r.l.,0.19291338582677167,0.412371134020618,0.21479150275373723,1.0,0.46247464503042596,1.0
Verizontal Technology,0.03543307086614173,0.7010309278350517,0.020236403820348886,1.0,0.2961460446247465,1.0
Verizon Consumer Group,0.03543307086614173,0.6494845360824746,0.014750290360046464,1.0,0.38336713995943206,1.0
SwiftKey,0.19291338582677167,0.4948453608247423,0.07797487065779751,0.0,0.3671399594320487,1.0
Tencent Mobility Limited,0.03543307086614173,0.5154639175257731,0.030144817073170738,1.0,0.18661257606490872,1.0
Telegram FZ-LLC,0.03543307086614173,0.5670103092783503,0.02986921173559562,0.0,0.0,1.0
Tap Lab,0.015748031496062992,0.5773195876288657,0.001273653566229986,1.0,0.0,1.0
Tango,0.03543307086614173,0.463917525773196,0.014632493885914474,0.0,0.2738336713995943,1.0
OGQ,0.03543307086614173,0.6185567010309274,0.022180529497602672,1.0,0.4462474645030426,1.0
Sygic.,0.015748031496062992,0.7422680412371134,0.014170731707317075,0.0,0.5152129817444219,1.0
Sweet Selfie Inc.,0.03543307086614173,0.5567010309278349,0.013183915622940016,1.0,0.2961460446247465,1.0
TeslaCoil Software,0.015748031496062992,0.6494845360824746,0.006592279999046328,0.0,0.0,1.0
Sweet Chat & Snap Apps,0.03543307086614173,0.47422680412371143,0.003929885846173042,1.0,0.3894523326572008,1.0
Studio Sol,0.03543307086614173,0.3092783505154637,0.00044093932674863986,1.0,0.06693711967545639,1.0
Studio 8 Apps,0.015748031496062992,0.6288659793814428,0.0033022182073672614,1.0,0.0,1.0
